,deviceid,subscriberid,audit_text
0,865596030368477,,https://forcier.surveycto.com/view/submission-attachment/TA_002b98cb-0248-4e33-8940-e67a09c8b99f.csv?uuid=uuid%3A002b98cb-0248-4e33-8940-e67a09c8b99f
1,865596030362397,,https://forcier.surveycto.com/view/submission-attachment/TA_00340544-4e80-4624-b873-e8d73e5b0185.csv?uuid=uuid%3A00340544-4e80-4624-b873-e8d73e5b0185
2,865596030255476,,https://forcier.surveycto.com/view/submission-attachment/TA_00399a65-e1d3-4bb4-a60a-ccba024406de.csv?uuid=uuid%3A00399a65-e1d3-4bb4-a60a-ccba024406de
3,865596030368238,,https://forcier.surveycto.com/view/submission-attachment/TA_006d16eb-ee71-4eeb-9e97-917dd4a36154.csv?uuid=uuid%3A006d16eb-ee71-4eeb-9e97-917dd4a36154
4,865596030364997,,https://forcier.surveycto.com/view/submission-attachment/TA_00a90af6-59d0-4464-889b-3cd3bff9cb56.csv?uuid=uuid%3A00a90af6-59d0-4464-889b-3cd3bff9cb56
5,865596030360276,,https://forcier.surveycto.com/view/submission-attachment/TA_00c1dfcf-613c-4b95-b909-4d3d14bbfd0d.csv?uuid=uuid%3A00c1dfcf-613c-4b95-b909-4d3d14bbfd0d
6,865596030364096,,https://forcier.surveycto.com/view/submission-attachment/TA_00c79003-f82f-4cf8-80ad-b23eabd60913.csv?uuid=uuid%3A00c79003-f82f-4cf8-80ad-b23eabd60913
7,865596030364997,,https://forcier.surveycto.com/view/submission-attachment/TA_00ed2535-49cb-4c16-8f55-b7e82a9bbbe2.csv?uuid=uuid%3A00ed2535-49cb-4c16-8f55-b7e82a9bbbe2
8,865596030368337,,https://forcier.surveycto.com/view/submission-attachment/TA_00fe68a7-0d95-4595-ace8-7712f701a4fe.csv?uuid=uuid%3A00fe68a7-0d95-4595-ace8-7712f701a4fe
9,865596030359690,,https://forcier.surveycto.com/view/submission-attachment/TA_0105371e-1097-4900-b7e2-973867183258.csv?uuid=uuid%3A0105371e-1097-4900-b7e2-973867183258
10,865596030263074,,https://forcier.surveycto.com/view/submission-attachment/TA_010e7fe4-0f31-445d-82dd-292e30b37839.csv?uuid=uuid%3A010e7fe4-0f31-445d-82dd-292e30b37839
11,865596030268990,,https://forcier.surveycto.com/view/submission-attachment/TA_0122bc01-942b-4ad1-924c-475a71da68b6.csv?uuid=uuid%3A0122bc01-942b-4ad1-924c-475a71da68b6
12,865596030263074,,https://forcier.surveycto.com/view/submission-attachment/TA_0126bbdd-0bc5-467a-a817-b437a8cf840b.csv?uuid=uuid%3A0126bbdd-0bc5-467a-a817-b437a8cf840b
13,865596030366752,,https://forcier.surveycto.com/view/submission-attachment/TA_012b46c7-7648-486f-9281-4733efc3942f.csv?uuid=uuid%3A012b46c7-7648-486f-9281-4733efc3942f
14,865596030364476,,https://forcier.surveycto.com/view/submission-attachment/TA_016d71ce-276a-40e9-802e-417bfff738cc.csv?uuid=uuid%3A016d71ce-276a-40e9-802e-417bfff738cc
